Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
East,Clay,Wheat,492.504941948582,15.122488734173675,False,True,Sunny,118,3.2629400057645914
East,Peaty,Cotton,479.6401383086073,18.59265678380897,False,True,Sunny,117,4.594306529993138
West,Peaty,Wheat,818.1778850028822,21.091520336175847,True,False,Sunny,60,6.229564424872183
West,Silt,Cotton,531.2369599450117,27.921533988122416,False,True,Cloudy,130,3.927292127313112
North,Sandy,Wheat,210.39400912290444,36.98944359434333,False,False,Rainy,125,1.4609048409097192
West,Silt,Maize,975.9671403536923,27.991989227135264,True,False,Rainy,130,6.442970347319004
East,Sandy,Soybean,662.5524934386882,37.38501560329132,True,True,Rainy,112,6.1454836320413335
East,Silt,Rice,933.6744254006044,36.03257487968553,False,False,Rainy,69,5.211868044930632
North,Peaty,Maize,198.0898446352328,22.356758423160656,False,False,Rainy,126,2.4386778543901
East,Loam,Rice,790.2310018714247,38.345806837121614,True,True,Cloudy,103,7.564447663416141
East,Chalky,Maize,211.88155135221524,15.589714974284131,True,False,Cloudy,73,2.962097200128018
East,Silt,Wheat,787.8138725159525,15.066494986612073,True,True,Sunny,117,6.861944925046342
West,Chalky,Soybean,549.4169849804164,20.25525584921061,True,True,Sunny,94,5.701635815435289
North,Chalky,Barley,655.9105224322283,34.28474131199617,False,False,Sunny,141,4.5367498932375945
South,Chalky,Rice,834.2975312912737,32.81395299461346,False,False,Rainy,81,5.033859143000881
East,Clay,Cotton,505.09247575577473,37.22853963874032,True,True,Sunny,97,5.664752859270461
North,Peaty,Cotton,561.6275760792826,39.80219614616357,False,False,Rainy,101,3.856665610248913
West,Loam,Maize,598.6436131255873,24.10035969621675,False,False,Rainy,83,3.674020634015165
North,Sandy,Cotton,216.8119416830629,37.8806267720644,False,True,Cloudy,85,2.585381052371301
North,Chalky,Maize,421.6555972072716,19.745525540640543,False,False,Cloudy,149,2.763494530967171
North,Chalky,Wheat,327.80890264673405,23.86915879190863,True,True,Cloudy,111,4.453001557739594
East,Silt,Cotton,952.1661057307876,18.91568483231971,False,True,Sunny,102,6.45039262441701
North,Chalky,Wheat,251.7882622180612,39.80046584852856,True,True,Rainy,117,5.278023515605406
West,Silt,Maize,161.10563281696147,16.07186698608992,True,False,Sunny,119,2.763933546485029
South,Loam,Wheat,834.7534800269855,31.33767006927827,False,False,Cloudy,61,4.431749729744521
South,Loam,Soybean,101.57326658538798,23.809661795887894,False,True,Cloudy,79,2.314557239068048
South,Chalky,Cotton,955.430819224814,39.79474259605378,False,False,Cloudy,112,4.737650750310037
East,Chalky,Cotton,214.1939105634167,27.82942340527667,True,False,Rainy,83,2.816368254525376
South,Sandy,Barley,836.7205895117729,36.74963362736505,False,False,Sunny,140,4.851410214593653
West,Loam,Barley,444.96666112895446,26.74842206873905,True,False,Cloudy,79,4.785811912494944
South,Silt,Soybean,368.5505041100798,31.6286985451597,True,False,Sunny,78,3.720891314353956
North,Silt,Wheat,142.50634778703676,22.26120447733472,False,False,Rainy,96,2.083938307575834
South,Clay,Cotton,364.2977788894069,21.691719160174145,False,False,Rainy,124,1.980610821204536
South,Clay,Barley,269.1602728282143,26.435252480110595,False,False,Sunny,95,2.6683441357951576
East,Clay,Cotton,872.2503659870891,27.927368813488336,True,False,Cloudy,142,6.028320764800565
East,Peaty,Rice,862.1245432520585,36.28255029072415,False,False,Rainy,123,4.22686409456881
West,Silt,Barley,705.1774774309301,35.89738734409011,True,True,Sunny,126,6.64621974337291
South,Peaty,Cotton,329.7151247372864,29.41436655161263,True,False,Sunny,128,3.06108348703526
East,Loam,Soybean,808.9871022412282,38.944893292858126,True,True,Cloudy,133,7.014768922426872
East,Chalky,Cotton,828.9321543490563,20.470597354161704,False,True,Sunny,93,6.332583592898229
West,Silt,Rice,726.3650084999974,15.206775965236885,False,True,Sunny,139,4.597101981078975
West,Loam,Barley,256.35759005269216,28.77126135335697,True,False,Sunny,143,4.075572936492138
East,Clay,Rice,717.6418855771587,15.137360706072712,False,True,Sunny,107,5.686435798120903
South,Loam,Rice,757.3094945476391,27.021190620603363,False,False,Cloudy,86,3.728976456569413
East,Silt,Soybean,342.6894651605271,23.386837811461675,True,True,Cloudy,118,4.966447449904654
North,Clay,Wheat,499.847247989054,21.385541900548542,False,False,Cloudy,76,2.9866541345825883
South,Silt,Barley,404.65977496285154,22.52299359769272,False,True,Cloudy,114,3.958579351560752
East,Silt,Soybean,391.8755274321687,25.036771665240863,False,False,Sunny,66,2.430138093126448
South,Peaty,Cotton,544.2385376454984,22.741261852575008,False,False,Sunny,67,2.524166847571252
East,Sandy,Cotton,294.1738152277512,28.556740265798943,True,True,Cloudy,142,3.8950620903440503
North,Peaty,Rice,843.2808754791853,27.48041461510489,False,True,Cloudy,143,6.141143365413075
West,Loam,Maize,673.8255382278186,33.63467148599112,False,True,Sunny,96,5.498186391829227
North,Silt,Cotton,353.2386695185634,21.47923294248824,False,False,Rainy,131,1.7524167425010262
West,Loam,Cotton,465.28985248092806,19.48001321923364,False,False,Rainy,90,3.303591280323892
West,Chalky,Wheat,938.8358541088108,15.945648854263476,False,True,Sunny,70,6.985176496731219
East,Loam,Cotton,676.7822499735362,28.845918427303783,False,False,Cloudy,123,3.689498429517161
South,Silt,Barley,579.4995309877306,27.49991804976284,False,False,Cloudy,120,3.427407049917222
North,Chalky,Cotton,319.17414992226384,16.272230215053565,False,False,Cloudy,134,2.1836023469003023
